"RR#","Load#","Tm#","Sts","Pickup Date","Pickup Time","Delivery Date","Delivery Time","Dispatcher","Invoice Date","Docs Scanned","Invoice Audit","Revenue$","Purch Tr$","Target Buy","Max Buy","Net Mrg$","CM$","Nbr of Stops","Weight","Equipment","Cust Name","Cust Ref#","Spot Bid","Driver","Tot Miles","Fuel Surcharge","Origin","Destination","Vendor Dispatch",
"4021079","3010-0717-0925","   3010","ASSG","09/20/25","0045","09/20/25","1115","BBANUELOS","","!","17","     1,348.11","     1,400.00","          .00","       .00","       -51.89","       .00","    3","         2","V","USPS","81584081","CONTRACT","DO NOT UPDATE TO RTS","  386","       .00","ROCHESTER,NY","CAPITOL HEIGHTS,MD","DISPATCH@DEADHEADTRUCKINGLLC.COM",
"4021090","3010-0723-0925","   3010","ASSG","09/20/25","0045","09/20/25","1200","DISAAC","","!","17","     1,753.01","     2,060.00","          .00","       .00","      -306.99","       .00","    2","         1","V","USPS","81586463","","MZ CARGO INC","  598","       .00","KANSAS CITY,MO","DENVER,CO","dispatch@mzcargoinc.com",
"4021161","3060-0196-0925","   3060","ASSG","09/20/25","0045","09/20/25","1045","YRODRIGUEZ","","!","17","       682.50","     1,000.00","          .00","       .00","      -317.50","       .00","    3","         2","V","USPS","81595631","CONTRACT","DO NOT UPDATE TO RTS","  365","       .00","BALTIMORE,MD","GREENSBORO,NC","DISPATCH@DEADHEADTRUCKINGLLC.COM",
"4021069","3060-0323-0925","   3060","ASSG","09/20/25","0100","09/20/25","1500","BBANUELOS","","!","17","     1,515.00","     2,100.00","          .00","       .00","      -585.00","       .00","    2","         1","V","USPS","81582542","CONTRACT","J R D TRANSPORTATION","  845","       .00","OKLAHOMA CITY,OK","PALMETTO,GA","dispatch@jrdtrans.com",
"4021072","3060-0338-0925","   3060","ASSG","09/20/25","0100","09/20/25","0800","DISAAC","","!","17","     1,153.50","     1,050.00","          .00","       .00","       103.50","       .00","    2","         1","V","USPS","81583359","CONTRACT","JY CARRIERS LLC","  274","       .00","SPRINGFIELD,MA","HISTORIC NEW CASTLE,DE","dispatch@jycarriers.com",
"4021073","3010-0711-0925","   3010","ASSG","09/20/25","0100","09/21/25","0000","DISAAC","","!","17","     1,842.40","     2,100.00","          .00","       .00","      -257.60","       .00","    2","         1","V","USPS","81583555","CONTRACT","ITF LLC"," 1090","       .00","SALT LAKE CITY,UT","OLATHE,KS","RUSLAN.TYLER@ITFGROUP.COM",
"4021076","3010-0714-0925","   3010","ASSG","09/20/25","0100","09/20/25","2115","BBANUELOS","","!","17","       693.00","     1,600.00","          .00","       .00","      -907.00","       .00","    2","         1","V","USPS","81584320","CONTRACT","MARTIAN EXPRESS CO","  998","       .00","TAMPA,FL","INDIANAPOLIS,IN","DISPATCH@MARTIANEXPRESS.US",
"4021098","3060-0154-0925","   3060","ASSG","09/20/25","0100","09/21/25","0230","BBANUELOS","","!","17","     1,497.60","     2,400.00","          .00","       .00","      -902.40","       .00","    2","         1","V","USPS","81586546","CONTRACT","US MEGA TRANSPORT INC"," 1296","       .00","SANDSTON,VA","IRVING,TX","go@megatransport.us,ali@megatransport.us",
"4021099","3060-0300-0925","   3060","ASSG","09/20/25","0100","09/20/25","0830","DISAAC","","!","17","     1,175.16","     1,200.00","          .00","       .00","       -24.84","       .00","    3","         2","V","USPS","81586673","CONTRACT","JY CARRIERS LLC","  243","       .00","NORTH READING,MA","MELVILLE,NY","dispatch@jycarriers.com",
"4021187","3060-0447-0925","   3060","ASSG","09/20/25","0100","09/20/25","0730","DISAAC","","!","17","     1,164.85","     1,150.00","          .00","       .00","        14.85","       .00","    2","         1","V","USPS","81597815","CONTRACT","ALI STAR INC","  241","       .00","SPRINGFIELD,MA","PHILADELPHIA,PA","ALISTARINCOH@GMAIL.COM",
"4021190","3060-0366-0925","   3060","ASSG","09/20/25","0100","09/20/25","0845","DISAAC","","!","17","       833.02","       825.00","          .00","       .00","         8.02","       .00","    2","         1","V","USPS","81599924","CONTRACT","JY CARRIERS LLC","  312","       .00","NORTH READING,MA","BELLMAWR,NJ","dispatch@jycarriers.com",
"4021221","3060-0831-0925","   3060","ASSG","09/20/25","0100","09/20/25","0900","BBANUELOS","","!","17","       678.32","       900.00","          .00","       .00","      -221.68","       .00","    2","         1","V","USPS","81604581","CONTRACT","MZ CARGO INC","  346","       .00","JERSEY CITY,NJ","SANDSTON,VA","dispatch@mzcargoinc.com",
"4034138","3060-0832-0925","   3060","ASSG","09/20/25","0100","09/20/25","0345","BBANUELOS","","!","17","     2,514.65","     3,280.00","          .00","       .00","      -765.35","       .00","    2","         1","V","USPS","81606125","CONTRACT","J R D TRANSPORTATION"," 1231","       .00","OKLAHOMA CITY,OK","ORLANDO,FL","DISPTACH@JRDTRANS.COM",
"4021070","3060-0212-0925","   3060","ASSG","09/20/25","0115","09/20/25","0830","DISAAC","","!","17","       749.17","       825.00","          .00","       .00","       -75.83","       .00","    2","         1","V","USPS","81583834","CONTRACT","JY CARRIERS LLC","  281","       .00","NORTH READING,MA","TRENTON,NJ","dispatch@jycarriers.com",
"4021134","3060-0283-0925","   3060","ASSG","09/20/25","0115","09/20/25","0900","DISAAC","","!","17","       927.90","     1,000.00","          .00","       .00","       -72.10","       .00","    2","         1","V","USPS","81592281","CONTRACT","AZIM CARGO INC","  303","       .00","NORTH READING,MA","BETHLEHEM,PA","teamb@azimcargo.com",
"4021219","3060-0683-0925","   3060","ASSG","09/20/25","0115","09/20/25","0745","DISAAC","","!","17","       776.48","       800.00","          .00","       .00","       -23.52","       .00","    3","         2","V","USPS","81602705","CONTRACT","JY CARRIERS LLC","  229","       .00","BOSTON,MA","KEARNY,NJ","dispatch@jycarriers.com",
"4021230","3060-0834-0925","   3060","ASSG","09/20/25","0115","09/20/25","1215","BBANUELOS","","!","17","     1,279.34","     1,100.00","          .00","       .00","       179.34","       .00","    3","         2","V","USPS","81606225","CONTRACT","ROAD RUNNERS AMERICA L","  419","       .00","NORTH READING,MA","LINTHICUM HEIGHTS,MD","dispatch@rramericalogistics.com",
"4021094","3060-0202-0925","   3060","ASSG","09/20/25","0130","09/20/25","1245","YRODRIGUEZ","","!","17","       802.80","     1,100.00","          .00","       .00","      -297.20","       .00","    2","         1","V","USPS","81586428","CONTRACT","DO NOT UPDATE TO RTS","  490","       .00","GREENSBORO,NC","PHILLIPSBURG,NJ","DISPATCH@DEADHEADTRUCKINGLLC.COM",
"4021107","3060-0130-0925","   3060","ASSG","09/20/25","0130","09/21/25","1045","BBANUELOS","","!","17","     2,327.19","     3,100.00","          .00","       .00","      -772.81","       .00","    2","         1","V","USPS","81587233","CONTRACT","SMT TRANS LLC"," 1653","       .00","LANCASTER,PA","AURORA,CO","SMTTRANS19@GMAIL.COM",
"4021131","3060-0346-0925","   3060","ASSG","09/20/25","0130","09/20/25","0730","TJEU","","!","17","       777.47","       850.00","          .00","       .00","       -72.53","       .00","    2","         1","V","USPS","81591191","CONTRACT","DDA LOGISTICS INC","  222","       .00","NORTH READING,MA","TETERBORO,NJ","dwayne@ddalogistics.com",
"4021145","3010-0767-0925","   3010","ASSG","09/20/25","0130","09/21/25","0030","YRODRIGUEZ","","!","17","     1,300.00","     1,800.00","          .00","       .00","      -500.00","       .00","    2","         1","V","USPS","81593663","CONTRACT","ZERO MAX INC"," 1131","       .00","TAMPA,FL","JERSEY CITY,NJ","dispatch@zeromaxinc.com",
"4021146","3010-0768-0925","   3010","ASSG","09/20/25","0130","09/20/25","1845","DISAAC","","!","17","     2,499.90","     2,700.00","          .00","       .00","      -200.10","       .00","    2","         1","V","USPS","81592742","CONTRACT","LOADMODE LLC","  777","       .00","LAS VEGAS,NV","AURORA,CO","info@loadmodellc.com",
"4021160","3060-0187-0925","   3060","ASSG","09/20/25","0130","09/20/25","2030","YRODRIGUEZ","","!","17","     1,195.40","     1,550.00","          .00","       .00","      -354.60","       .00","    2","         1","V","USPS","81595332","CONTRACT","SMT TRANS LLC","  911","       .00","TETERBORO,NJ","PALMETTO,GA","SMTTRANS19@GMAIL.COM",
"4021196","3010-0806-0925","   3010","ASSG","09/20/25","0130","09/20/25","1400","YRODRIGUEZ","","!","17","     1,074.89","     1,200.00","          .00","       .00","      -125.11","       .00","    4","         3","V","USPS","81599203","CONTRACT","DO NOT UPDATE TO RTS","  476","       .00","HARRISBURG,PA","CINCINNATI,OH","DISPATCH@DEADHEADTRUCKINGLLC.COM",
"4021211","3060-0097-0925","   3060","ASSG","09/20/25","0130","09/20/25","1000","BBANUELOS","","!","17","     1,188.95","     1,000.00","          .00","       .00","       188.95","       .00","    2","         1","V","USPS","81601524","CONTRACT","DO NOT UPDATE TO RTS","  391","       .00","NORTH READING,MA","HARRISBURG,PA","DISPATCH@DEADHEADTRUCKINGLLC.COM",
"4021215","3060-0256-0925","   3060","ASSG","09/20/25","0130","09/20/25","0730","DISAAC","","!","17","     1,074.40","     1,000.00","          .00","       .00","        74.40","       .00","    2","         1","V","USPS","81602326","CONTRACT","ALI STAR INC","  229","       .00","NORTH READING,MA","KEARNY,NJ","DISPATCH@ALISTARINCOH.COM",
"4021242","3010-0843-0925","   3010","ASSG","09/20/25","0130","09/20/25","1530","BBANUELOS","","!","17","     1,965.50","     2,000.00","          .00","       .00","       -34.50","       .00","    3","         2","V","USPS","81605769","CONTRACT","MZ CARGO INC","  614","       .00","RALEIGH,NC","TALLAHASSEE,FL","dispatch@mzcargoinc.com",
"4021064","3060-0837-0925","   3060","ASSG","09/20/25","0145","09/20/25","0800","YRODRIGUEZ","","!","17","     1,169.70","     1,000.00","          .00","       .00","       169.70","       .00","    2","         1","V","USPS","81582641","CONTRACT","SHORTHORN LLC","  241","       .00","SPRINGFIELD,MA","BELLMAWR,NJ","dispatch@shorthorncargo.com",
"4021109","3060-0262-0925","   3060","ASSG","09/20/25","0145","09/20/25","0730","DISAAC","","!","17","     1,189.05","     1,000.00","          .00","       .00","       189.05","       .00","    3","         2","V","USPS","81587132","CONTRACT","ALI STAR INC","  199","       .00","NORTH READING,MA","WHITE PLAINS,NY","DISPATCH@ALISTARINCOH.COM",
"4021124","3010-0749-0925","   3010","DLVR","09/20/25","0145","09/20/25","1045","YRODRIGUEZ","09/16/25","Y","05","       830.53","       925.00","          .00","       .00","       -94.47","       .00","    2","         1","V","USPS","81591336","CONTRACT","DO NOT UPDATE TO RTS","  377","       .00","CLEVELAND,OH","CAPITOL HEIGHTS,MD","DISPATCH@DEADHEADTRUCKINGLLC.COM",
"4021125","3060-0105-0925","   3060","ASSG","09/20/25","0145","09/20/25","1230","THOMAST","","!","17","     1,058.50","     1,000.00","          .00","       .00","        58.50","       .00","    2","         1","V","USPS","81591218","CONTRACT","TWISTED FARMS LLC","  458","       .00","NORTH READING,MA","BUFFALO,NY","ops@TWISTEDFARMS.ORG",
"4021126","3060-0351-0925","   3060","ASSG","09/20/25","0145","09/20/25","1100","TJEU","","!","17","     1,217.05","     1,200.00","          .00","       .00","        17.05","       .00","    3","         2","V","USPS","81590540","CONTRACT","NOOR EXPRESS LOGISTICS","  348","       .00","SPRINGFIELD,MA","LINTHICUM HEIGHTS,MD","dispatch@noorexpress.us",
"4021141","3010-0763-0925","   3010","ASSG","09/20/25","0145","09/21/25","2200","YRODRIGUEZ","","!","17","     4,715.15","     5,600.00","          .00","       .00","      -884.85","       .00","    2","         1","V","USPS","81593595","CONTRACT","PARS TRANSPORTATION IN"," 2150","       .00","PHOENIX,AZ","ORLANDO,FL","dispatch@parstransportationinc.com",
"4021166","3060-0113-0925","   3060","ASSG","09/20/25","0145","09/20/25","0930","THOMAST","","!","17","       688.10","       800.00","          .00","       .00","      -111.90","       .00","    2","         1","V","USPS","81596868","CONTRACT","TWISTED FARMS LLC","  329","       .00","JERSEY CITY,NJ","ROCHESTER,NY","ops@TWISTEDFARMS.ORG",
"4021179","3060-0107-0925","   3060","ASSG","09/20/25","0145","09/20/25","1100","THOMAST","","!","17","     1,092.89","     1,000.00","          .00","       .00","        92.89","       .00","    2","         1","V","USPS","81598216","CONTRACT","TWISTED FARMS LLC","  396","       .00","NORTH READING,MA","ROCHESTER,NY","ops@TWISTEDFARMS.ORG",
"4021217","3060-0291-0925","   3060","ASSG","09/20/25","0145","09/20/25","0745","DISAAC","","!","17","     1,275.69","     1,200.00","          .00","       .00","        75.69","       .00","    2","         1","V","USPS","81602658","CONTRACT","JY CARRIERS LLC","  232","       .00","NORTH READING,MA","BROOKLYN,NY","dispatch@jycarriers.com",
"4021061","3010-0699-0925","   3010","ASSG","09/20/25","0200","09/20/25","2130","BBANUELOS","","!","17","       760.00","     1,100.00","          .00","       .00","      -340.00","       .00","    2","         1","V","USPS","81582987","CONTRACT","VANTAGE CARRIER LLC","  987","       .00","ORLANDO,FL","INDIANAPOLIS,IN","dispatch@vantagecarrier.com",
"4021081","3060-0842-0925","   3060","ASSG","09/20/25","0200","09/20/25","1345","YRODRIGUEZ","","!","17","     1,060.00","     1,700.00","          .00","       .00","      -640.00","       .00","    2","         1","V","USPS","81583436","CONTRACT","SEVEN O SEVEN TRANSPOR","  570","       .00","OAK CREEK,WI","KANSAS CITY,MO","Dispatch@707trans.com",
"4021112","3060-0843-0925","   3060","ASSG","09/20/25","0200","09/20/25","1430","YRODRIGUEZ","","!","17","     1,050.69","     1,100.00","          .00","       .00","       -49.31","       .00","    3","         2","V","USPS","81588809","CONTRACT","SHORTHORN LLC","  474","       .00","NORTH READING,MA","DULLES,VA","dispatch@shorthorncargo.com",
"4021118","3010-0743-0925","   3010","ASSG","09/20/25","0200","09/20/25","1645","BBANUELOS","","!","17","     2,015.35","     2,200.00","          .00","       .00","      -184.65","       .00","    2","         1","V","USPS","81590178","CONTRACT","VANTAGE CARRIER LLC","  750","       .00","SANDSTON,VA","ORLANDO,FL","dispatch@vantagecarrier.com",
"4021147","3010-0769-0925","   3010","ASSG","09/20/25","0200","09/20/25","1900","STEPHENW","","!","17","     1,215.71","     1,100.00","          .00","       .00","       115.71","       .00","    5","         4","V","USPS","81593015","CONTRACT","MZ CARGO INC","  631","       .00","HARRISBURG,PA","LOUISVILLE,KY","dispatch@mzcargoinc.com",
"4021183","3060-0250-0925","   3060","ASSG","09/20/25","0200","09/20/25","0700","STEPHENW","","!","17","       800.21","       850.00","          .00","       .00","       -49.79","       .00","    2","         1","V","USPS","81598208","CONTRACT","DDA LOGISTICS INC","  181","       .00","NORTH READING,MA","ALBANY,NY","dwayne@ddalogistics.com",
"4021229","3060-0393-0925","   3060","ASSG","09/20/25","0200","09/21/25","0230","DISAAC","","!","17","     1,375.85","     1,950.00","          .00","       .00","      -574.15","       .00","    2","         1","V","USPS","81606246","CONTRACT","A2Z EXPRESS INC"," 1152","       .00","SALT LAKE CITY,UT","WEST FARGO,ND","DISPATCH@A2ZEXPRESS.NET",
"4021240","3060-0845-0925","   3060","ASSG","09/20/25","0200","09/20/25","1230","DISAAC","","!","17","     1,263.48","     1,100.00","          .00","       .00","       163.48","       .00","    2","         1","V","USPS","81606218","CONTRACT","ALI STAR INC","  445","       .00","NORTH READING,MA","CAPITOL HEIGHTS,MD","DISPATCH@ALISTARINCOH.COM",
"4029364","3060-0561-0925","   3060","ASSG","09/20/25","0200","09/20/25","1315","BBANUELOS","","!","17","     1,422.00","     1,600.00","          .00","       .00","      -178.00","       .00","    2","         1","V","USPS","83075618","CONTRACT","VANTAGE CARRIER LLC","  535","       .00","GREENSBORO,NC","JERSEY CITY,NJ","dispatch@vantagecarrier.com",
"4021104","3010-0733-0925","   3010","ASSG","09/20/25","0215","09/21/25","0430","DISAAC","","!","17","     2,318.53","     2,800.00","          .00","       .00","      -481.47","       .00","    2","         1","V","USPS","81586960","CONTRACT","MZ CARGO INC"," 1313","       .00","NORTH READING,MA","URBANDALE,IA","dispatch@mzcargoinc.com",
"4021199","3010-0809-0925","   3010","ASSG","09/20/25","0215","09/20/25","1715","BBANUELOS","","!","17","     2,000.00","     2,000.00","          .00","       .00","          .00","       .00","    2","         1","V","USPS","81600756","CONTRACT","RED APPLE LOGISTICS LL","  735","       .00","GRAND RAPIDS,MI","JERSEY CITY,NJ","redapplelogistic@gmail.com",
"4021225","3010-0831-0925","   3010","ASSG","09/20/25","0215","09/21/25","0330","YRODRIGUEZ","","!","17","     1,847.00","     1,600.00","          .00","       .00","       247.00","       .00","    2","         1","V","USPS","81604590","CONTRACT","GRAY CARGO LLC"," 1287","       .00","TAMPA,FL","OLATHE,KS","graycargollc@gmail.com",
"4024998","3060-0841-0925","   3060","ASSG","09/20/25","0215","09/20/25","1015","DISAAC","","!","17","     1,290.00","     1,150.00","          .00","       .00","       140.00","       .00","    2","         1","V","USPS","82200155","SPOT","ALI STAR INC","  339","       .00","BALTIMORE,MD","SPRINGFIELD,MA","DISPATCH@ALISTARINCOH.COM",
"4021150","3010-0772-0925","   3010","ASSG","09/20/25","0230","09/20/25","2300","BBANUELOS","","!","17","       693.00","     1,600.00","          .00","       .00","      -907.00","       .00","    2","         1","V","USPS","81594096","CONTRACT","MARTIAN EXPRESS CO","  998","       .00","TAMPA,FL","INDIANAPOLIS,IN","dispatch@martianexpress.us",
"4021222","3010-0829-0925","   3010","ASSG","09/20/25","0230","09/20/25","1430","YRODRIGUEZ","","!","17","     1,608.40","     2,200.00","          .00","       .00","      -591.60","       .00","    2","         1","V","USPS","81604731","CONTRACT","XFR8 LLC","  555","       .00","ALLEN PARK,MI","PHILLIPSBURG,NJ","operations@xfr8.us",
"4021244","3060-0216-0925","   3060","ASSG","09/20/25","0230","09/20/25","2215","BBANUELOS","","!","17","     1,705.90","     2,000.00","          .00","       .00","      -294.10","       .00","    3","         2","V","USPS","81607257","CONTRACT","VANTAGE CARRIER LLC","  889","       .00","LOUISVILLE,KY","SPRINGFIELD,MA","dispatch@vantagecarrier.com",
"4021063","3010-0701-0925","   3010","ASSG","09/20/25","0245","09/21/25","0200","BBANUELOS","","!","17","     2,806.65","     3,200.00","          .00","       .00","      -393.35","       .00","    2","         1","V","USPS","81582921","CONTRACT","VANTAGE CARRIER LLC"," 1150","       .00","ALLEN PARK,MI","ORLANDO,FL","dispatch@vantagecarrier.com",
"4021203","3010-0813-0925","   3010","ASSG","09/20/25","0300","09/20/25","1645","YRODRIGUEZ","","!","17","     1,768.00","     1,950.00","          .00","       .00","      -182.00","       .00","    2","         1","V","USPS","81601141","CONTRACT","DO NOT UPDATE TO RTS","  652","       .00","GREENSBORO,NC","TAMPA,FL","DISPATCH@DEADHEADTRUCKINGLLC.COM",
"4021213","3010-0821-0925","   3010","ASSG","09/20/25","0300","09/21/25","0200","BBANUELOS","","!","17","     1,300.00","     1,750.00","          .00","       .00","      -450.00","       .00","    2","         1","V","USPS","81602275","CONTRACT","LTL"," 1131","       .00","TAMPA,FL","JERSEY CITY,NJ","DISPATCH@LTRANSL.COM",
"4021108","3010-0735-0925","   3010","ASSG","09/20/25","0315","09/20/25","2330","BBANUELOS","","!","17","       693.00","     1,500.00","          .00","       .00","      -807.00","       .00","    2","         1","V","USPS","81587776","CONTRACT","XFR8 LLC","  998","       .00","TAMPA,FL","INDIANAPOLIS,IN","operations@xfr8.us",
"4021121","3010-0746-0925","   3010","ASSG","09/20/25","0315","09/20/25","1730","STEPHENW","","!","17","     1,226.64","     1,700.00","          .00","       .00","      -473.36","       .00","    3","         2","V","USPS","81590012","CONTRACT","MZ CARGO INC","  617","       .00","LOUISVILLE,KY","HARRISBURG,PA","dispatch@mzcargoinc.com",
"4021205","3010-0815-0925","   3010","ASSG","09/20/25","0315","09/21/25","0530","BBANUELOS","","!","17","     2,318.53","     2,800.00","          .00","       .00","      -481.47","       .00","    2","         1","V","USPS","81600755","CONTRACT","SMT TRANS LLC"," 1313","       .00","NORTH READING,MA","URBANDALE,IA","SMTTRANS19@GMAIL.COM",
"4021067","3060-0849-0925","   3060","ASSG","09/20/25","0330","09/21/25","0800","BBANUELOS","","!","17","     2,496.50","     3,300.00","          .00","       .00","      -803.50","       .00","    4","         3","V","USPS","81582902","CONTRACT","LTL"," 1318","       .00","ROCHESTER,NY","TAMPA,FL","DISPATCH@LTRANSL.COM",
"4021089","3060-0158-0925","   3060","ASSG","09/20/25","0330","09/20/25","0915","YRODRIGUEZ","","!","17","       720.00","     1,000.00","          .00","       .00","      -280.00","       .00","    2","         1","V","USPS","81585762","CONTRACT","NOOR EXPRESS LOGISTICS","  248","       .00","JERSEY CITY,NJ","DULLES,VA","DISPATCH@NOOREXPRESS.US",
"4021119","3060-0276-0925","   3060","ASSG","09/20/25","0330","09/20/25","0900","DISAAC","","!","17","       740.70","       767.00","          .00","       .00","       -26.30","       .00","    2","         1","V","USPS","81589367","CONTRACT","AZIM CARGO INC","  220","       .00","JERSEY CITY,NJ","WASHINGTON,DC","teamb@azimcargo.com",
"4021164","3010-0783-0925","   3010","ASSG","09/20/25","0330","09/21/25","0200","BBANUELOS","","!","17","     1,300.00","     1,600.00","          .00","       .00","      -300.00","       .00","    2","         1","V","USPS","81597158","CONTRACT","VANTAGE CARRIER LLC"," 1103","       .00","TAMPA,FL","PHILLIPSBURG,NJ","dispatch@vantagecarrier.com",
"4021201","3010-0811-0925","   3010","ASSG","09/20/25","0330","09/20/25","1600","BBANUELOS","","!","17","     1,726.72","     2,100.00","          .00","       .00","      -373.28","       .00","    2","         1","V","USPS","81600776","CONTRACT","DALI  TRANSPORTATION","  568","       .00","NORTH READING,MA","SANDSTON,VA","Dispatch@callprimeone.com",
